IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.210.43.213,4,4,0.00,43.40,0.00
8.210.55.134,4,4,0.00,47.90,0.00
47.243.70.186,4,4,0.00,48.08,0.00
8.218.3.12,4,4,0.00,49.24,0.00
8.217.181.213,4,4,0.00,49.72,0.00
47.243.234.9,4,4,0.00,50.44,0.00
8.219.153.237,4,4,0.00,202.64,0.00
8.222.144.50,4,4,0.00,204.92,0.00
8.219.111.147,4,4,0.00,206.13,0.00
8.222.180.86,4,4,0.00,206.44,0.00
8.219.120.87,4,4,0.00,206.69,0.00
8.219.6.150,4,4,0.00,208.26,0.00
8.219.132.64,4,4,0.00,208.51,0.00
8.222.179.231,4,4,0.00,209.37,0.00
8.217.121.207,4,2,0.50,48.12,0.00
