IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
158.180.82.186,4,4,0.00,141.02,0.00
192.18.153.119,4,4,0.00,237.54,0.00
130.162.61.18,4,4,0.00,283.17,0.00
164.152.34.166,4,4,0.00,382.91,0.00
152.67.222.250,4,3,0.25,136.84,0.00
152.67.190.105,4,3,0.25,391.31,0.00
