IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.242.218.87,4,4,0.00,44.62,0.00
8.210.32.31,4,4,0.00,48.98,0.00
8.210.250.129,4,4,0.00,49.67,0.00
8.212.65.162,4,4,0.00,52.82,0.00
8.212.14.90,4,4,0.00,53.66,0.00
47.57.245.232,4,4,0.00,54.89,0.00
8.220.198.90,4,4,0.00,59.09,0.00
8.213.150.178,4,4,0.00,59.66,0.00
8.218.108.3,4,4,0.00,80.77,0.00
47.74.155.26,4,4,0.00,86.02,0.00
8.222.156.179,4,4,0.00,201.48,0.00
8.219.77.141,4,4,0.00,207.97,0.00
47.253.171.149,4,4,0.00,246.59,0.00
8.215.39.169,4,4,0.00,348.81,0.00
8.220.135.63,4,4,0.00,349.73,0.00
8.220.135.231,4,4,0.00,366.43,0.00
147.139.181.165,4,4,0.00,369.46,0.00
8.209.45.211,4,4,0.00,429.13,0.00
8.209.37.182,4,4,0.00,431.26,0.00
8.209.45.47,4,4,0.00,432.31,0.00
