IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.146.160.114,4,4,0.00,185.86,0.00
204.216.216.148,4,4,0.00,255.82,0.00
152.69.210.245,4,4,0.00,259.64,0.00
132.145.53.55,4,4,0.00,272.70,0.00
158.180.230.4,4,4,0.00,283.23,0.00
140.238.173.181,4,4,0.00,284.73,0.00
129.151.198.3,4,4,0.00,297.39,0.00
168.138.141.235,4,4,0.00,352.42,0.00
132.226.163.224,4,4,0.00,354.72,0.00
131.186.30.44,4,3,0.25,69.07,0.00
140.238.58.181,4,3,0.25,119.51,0.00
132.145.54.84,4,3,0.25,286.35,0.00
