IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.217.150.87,4,4,0.00,45.97,27.59
8.222.77.212,4,4,0.00,63.86,11.78
8.222.79.51,4,4,0.00,63.28,9.25
8.218.26.21,4,4,0.00,51.10,1.21
8.210.58.6,4,4,0.00,47.49,0.21
8.213.159.58,4,4,0.00,54.22,0.08
8.222.68.245,4,4,0.00,72.79,0.00
8.222.68.32,4,4,0.00,67.84,0.00
8.222.77.152,4,4,0.00,67.90,0.00
8.222.76.79,4,4,0.00,71.71,0.00
8.210.221.214,4,4,0.00,46.26,0.00
8.222.78.171,4,4,0.00,73.49,0.00
8.222.79.219,4,4,0.00,80.72,0.00
8.222.71.83,4,4,0.00,85.56,0.00
47.89.244.253,4,4,0.00,180.11,0.00
8.219.122.111,4,4,0.00,196.11,0.00
8.222.192.216,4,4,0.00,200.55,0.00
8.222.165.104,4,4,0.00,201.18,0.00
8.222.215.15,4,4,0.00,201.63,0.00
8.222.148.44,4,4,0.00,202.72,0.00
