IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
193.122.125.223,4,4,0.00,66.60,0.00
132.145.81.117,4,4,0.00,67.49,0.00
193.122.101.195,4,4,0.00,67.82,0.00
132.145.94.80,4,4,0.00,69.07,0.00
193.122.97.248,4,4,0.00,69.22,0.00
146.56.46.84,4,4,0.00,71.00,0.00
144.24.65.251,4,4,0.00,136.29,0.00
152.67.222.167,4,4,0.00,138.97,0.00
158.180.82.186,4,4,0.00,142.44,0.00
132.226.31.178,4,4,0.00,168.05,0.00
129.146.243.241,4,4,0.00,170.16,0.00
192.18.130.65,4,4,0.00,177.12,0.00
141.148.160.98,4,4,0.00,177.18,0.00
138.2.227.164,4,4,0.00,180.11,0.00
140.83.55.142,4,4,0.00,182.33,0.00
152.67.249.123,4,4,0.00,182.82,0.00
150.230.34.61,4,4,0.00,183.16,0.00
192.18.134.22,4,4,0.00,183.69,0.00
129.146.7.98,4,4,0.00,184.70,0.00
129.146.33.223,4,4,0.00,184.99,0.00
